Depth,OB,VP,Temp,PP,GR,NPHI,CALI,LITHO,RHOB,RDEP
80,400.18360239683864,1818.8315424676748,44.199424,115.97339289600001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
81,403.01045998963957,1818.8315424676748,44.251916800000004,117.42306030720002,64.4974823,,19.406000137,,1.7890000343,1.5749928951
82,405.8381428486439,1818.8315424676748,44.3044096,118.8727277184,64.4974823,,19.406000137,,1.7890000343,1.5749928951
83,408.6666434598443,1818.8315424676748,44.3569024,120.32239512960001,64.4974823,,19.406000137,,1.7890000343,1.5749928951
84,411.4959544669551,1818.8315424676748,44.4093952,121.7720625408,64.4974823,,19.406000137,,1.7890000343,1.5749928951
85,414.32606866627185,1818.8315424676748,44.461888,123.221729952,64.4974823,,19.406000137,,1.7890000343,1.5749928951
86,417.1569790017561,1818.8315424676748,44.5143808,124.6713973632,64.4974823,,19.406000137,,1.7890000343,1.5749928951
87,419.9886785603338,1818.8315424676748,44.5668736,126.1210647744,64.4974823,,19.406000137,,1.7890000343,1.5749928951
88,422.82116056739517,1818.8315424676748,44.6193664,127.5707321856,64.4974823,,19.406000137,,1.7890000343,1.5749928951
89,425.65441838248626,1818.8315424676748,44.6718592,129.02039959680002,64.4974823,,19.406000137,,1.7890000343,1.5749928951
90,428.4884454951808,1818.8315424676748,44.724351999999996,130.470067008,64.4974823,,19.406000137,,1.7890000343,1.5749928951
91,431.323235521123,1818.8315424676748,44.7768448,131.9197344192,64.4974823,,19.406000137,,1.7890000343,1.5749928951
92,434.158782198234,1818.8315424676748,44.8293376,133.36940183040002,64.4974823,,19.406000137,,1.7890000343,1.5749928951
93,436.9950793830707,1818.8315424676748,44.8818304,134.8190692416,64.4974823,,19.406000137,,1.7890000343,1.5749928951
